study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB29231	SAMEA4984524	ERX2857185	ERR2850572	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850572/ERR2850572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850572/ERR2850572_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850572/LOW15040050102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850572/LOW15040050102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/002/ERR2850572
PRJEB29231	SAMEA4984525	ERX2857186	ERR2850573	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850573/ERR2850573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850573/ERR2850573_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850573/LOW15040050103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850573/LOW15040050103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/003/ERR2850573
PRJEB29231	SAMEA4984526	ERX2857187	ERR2850574	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850574/ERR2850574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850574/ERR2850574_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850574/LOW15040050104_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850574/LOW15040050104_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/004/ERR2850574
PRJEB29231	SAMEA4984527	ERX2857188	ERR2850575	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850575/ERR2850575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850575/ERR2850575_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850575/LOW15040060101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850575/LOW15040060101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/005/ERR2850575
PRJEB29231	SAMEA4984528	ERX2857189	ERR2850576	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850576/ERR2850576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850576/ERR2850576_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850576/LOW15040060102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850576/LOW15040060102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/006/ERR2850576
PRJEB29231	SAMEA4984529	ERX2857190	ERR2850577	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/007/ERR2850577/ERR2850577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/007/ERR2850577/ERR2850577_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850577/LOW15040060103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850577/LOW15040060103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/007/ERR2850577
PRJEB29231	SAMEA4984530	ERX2857191	ERR2850578	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850578/ERR2850578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850578/ERR2850578_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850578/LOW15040060104_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850578/LOW15040060104_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/008/ERR2850578
PRJEB29231	SAMEA4984531	ERX2857192	ERR2850579	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/009/ERR2850579/ERR2850579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/009/ERR2850579/ERR2850579_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850579/LOW15040070101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850579/LOW15040070101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/009/ERR2850579
PRJEB29231	SAMEA4984532	ERX2857193	ERR2850580	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/000/ERR2850580/ERR2850580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/000/ERR2850580/ERR2850580_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850580/LOW15040070102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850580/LOW15040070102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/000/ERR2850580
PRJEB29231	SAMEA4984533	ERX2857194	ERR2850581	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/001/ERR2850581/ERR2850581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/001/ERR2850581/ERR2850581_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850581/LOW15040070103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850581/LOW15040070103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/001/ERR2850581
PRJEB29231	SAMEA4984534	ERX2857195	ERR2850582	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850582/ERR2850582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850582/ERR2850582_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850582/LOW15040070104_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850582/LOW15040070104_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/002/ERR2850582
PRJEB29231	SAMEA4984535	ERX2857196	ERR2850583	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850583/ERR2850583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850583/ERR2850583_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850583/LOW15040080101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850583/LOW15040080101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/003/ERR2850583
PRJEB29231	SAMEA4984536	ERX2857197	ERR2850584	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850584/ERR2850584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850584/ERR2850584_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850584/LOW15040080102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850584/LOW15040080102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/004/ERR2850584
PRJEB29231	SAMEA4984537	ERX2857198	ERR2850585	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850585/ERR2850585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850585/ERR2850585_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850585/LOW15040080103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850585/LOW15040080103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/005/ERR2850585
PRJEB29231	SAMEA4984538	ERX2857199	ERR2850586	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850586/ERR2850586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850586/ERR2850586_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850586/LOW15040080104_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850586/LOW15040080104_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/006/ERR2850586
PRJEB29231	SAMEA4984539	ERX2857200	ERR2850587	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/007/ERR2850587/ERR2850587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/007/ERR2850587/ERR2850587_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850587/LOW15040090101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850587/LOW15040090101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/007/ERR2850587
PRJEB29231	SAMEA4984540	ERX2857201	ERR2850588	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850588/ERR2850588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850588/ERR2850588_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850588/LOW15040090102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850588/LOW15040090102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/008/ERR2850588
PRJEB29231	SAMEA4984541	ERX2857202	ERR2850589	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/009/ERR2850589/ERR2850589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/009/ERR2850589/ERR2850589_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850589/LOW15040090103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850589/LOW15040090103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/009/ERR2850589
PRJEB29231	SAMEA4984542	ERX2857203	ERR2850590	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/000/ERR2850590/ERR2850590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/000/ERR2850590/ERR2850590_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850590/LOW15040090104_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850590/LOW15040090104_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/000/ERR2850590
PRJEB29231	SAMEA4984543	ERX2857204	ERR2850591	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/001/ERR2850591/ERR2850591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/001/ERR2850591/ERR2850591_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850591/NOR0203010101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850591/NOR0203010101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/001/ERR2850591
PRJEB29231	SAMEA4984544	ERX2857205	ERR2850592	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850592/ERR2850592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850592/ERR2850592_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850592/NOR0203010102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850592/NOR0203010102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/002/ERR2850592
PRJEB29231	SAMEA4984545	ERX2857206	ERR2850593	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850593/ERR2850593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850593/ERR2850593_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850593/NOR0203010103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850593/NOR0203010103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/003/ERR2850593
PRJEB29231	SAMEA4984546	ERX2857207	ERR2850594	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850594/ERR2850594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850594/ERR2850594_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850594/NOR0203020101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850594/NOR0203020101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/004/ERR2850594
PRJEB29231	SAMEA4984547	ERX2857208	ERR2850595	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850595/ERR2850595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850595/ERR2850595_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850595/NOR0203020102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850595/NOR0203020102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/005/ERR2850595
PRJEB29231	SAMEA4984548	ERX2857209	ERR2850596	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850596/ERR2850596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850596/ERR2850596_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850596/NOR0203020103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850596/NOR0203020103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/006/ERR2850596
PRJEB29231	SAMEA4984549	ERX2857210	ERR2850597	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/007/ERR2850597/ERR2850597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/007/ERR2850597/ERR2850597_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850597/NOR0203030101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850597/NOR0203030101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/007/ERR2850597
PRJEB29231	SAMEA4984550	ERX2857211	ERR2850598	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850598/ERR2850598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850598/ERR2850598_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850598/NOR0203030102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850598/NOR0203030102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/008/ERR2850598
PRJEB29231	SAMEA4984551	ERX2857212	ERR2850599	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/009/ERR2850599/ERR2850599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/009/ERR2850599/ERR2850599_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850599/NOR0203030103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850599/NOR0203030103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/009/ERR2850599
