study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB29231	SAMEA4984552	ERX2857213	ERR2850600	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/000/ERR2850600/ERR2850600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/000/ERR2850600/ERR2850600_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850600/NOR0203040101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850600/NOR0203040101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/000/ERR2850600
PRJEB29231	SAMEA4984553	ERX2857214	ERR2850601	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/001/ERR2850601/ERR2850601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/001/ERR2850601/ERR2850601_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850601/NOR0203050101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850601/NOR0203050101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/001/ERR2850601
PRJEB29231	SAMEA4984554	ERX2857215	ERR2850602	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850602/ERR2850602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850602/ERR2850602_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850602/NOR0203050102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850602/NOR0203050102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/002/ERR2850602
PRJEB29231	SAMEA4984555	ERX2857216	ERR2850603	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850603/ERR2850603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850603/ERR2850603_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850603/NOR0203050103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850603/NOR0203050103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/003/ERR2850603
PRJEB29231	SAMEA4984556	ERX2857217	ERR2850604	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850604/ERR2850604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850604/ERR2850604_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850604/NOR0203060101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850604/NOR0203060101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/004/ERR2850604
PRJEB29231	SAMEA4984557	ERX2857218	ERR2850605	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850605/ERR2850605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850605/ERR2850605_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850605/NOR0203060102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850605/NOR0203060102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/005/ERR2850605
PRJEB29231	SAMEA4984558	ERX2857219	ERR2850606	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850606/ERR2850606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850606/ERR2850606_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850606/NOR0203060103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850606/NOR0203060103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/006/ERR2850606
PRJEB29231	SAMEA4984559	ERX2857220	ERR2850607	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/007/ERR2850607/ERR2850607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/007/ERR2850607/ERR2850607_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850607/NOR0203070101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850607/NOR0203070101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/007/ERR2850607
PRJEB29231	SAMEA4984560	ERX2857221	ERR2850608	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850608/ERR2850608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850608/ERR2850608_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850608/NOR0203070102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850608/NOR0203070102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/008/ERR2850608
PRJEB29231	SAMEA4984561	ERX2857222	ERR2850609	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/009/ERR2850609/ERR2850609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/009/ERR2850609/ERR2850609_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850609/NOR0203070103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850609/NOR0203070103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/009/ERR2850609
PRJEB29231	SAMEA4984562	ERX2857223	ERR2850610	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/000/ERR2850610/ERR2850610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/000/ERR2850610/ERR2850610_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850610/NOR0203080101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850610/NOR0203080101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/000/ERR2850610
PRJEB29231	SAMEA4984563	ERX2857224	ERR2850611	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/001/ERR2850611/ERR2850611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/001/ERR2850611/ERR2850611_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850611/NOR0203090101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850611/NOR0203090101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/001/ERR2850611
PRJEB29231	SAMEA4984564	ERX2857225	ERR2850612	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850612/ERR2850612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850612/ERR2850612_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850612/NOR0203090102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850612/NOR0203090102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/002/ERR2850612
PRJEB29231	SAMEA4984565	ERX2857226	ERR2850613	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850613/ERR2850613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850613/ERR2850613_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850613/NOR0203090103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850613/NOR0203090103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/003/ERR2850613
PRJEB29231	SAMEA4984566	ERX2857227	ERR2850614	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850614/ERR2850614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850614/ERR2850614_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850614/NOR0203100101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850614/NOR0203100101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/004/ERR2850614
PRJEB29231	SAMEA4984567	ERX2857228	ERR2850615	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850615/ERR2850615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850615/ERR2850615_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850615/NOR0203100102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850615/NOR0203100102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/005/ERR2850615
PRJEB29231	SAMEA4984568	ERX2857229	ERR2850616	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850616/ERR2850616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850616/ERR2850616_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850616/NOR0203100103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850616/NOR0203100103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/006/ERR2850616
PRJEB29231	SAMEA4984569	ERX2857230	ERR2850617	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/007/ERR2850617/ERR2850617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/007/ERR2850617/ERR2850617_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850617/NOR0203110101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850617/NOR0203110101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/007/ERR2850617
PRJEB29231	SAMEA4984570	ERX2857231	ERR2850618	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850618/ERR2850618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850618/ERR2850618_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850618/NOR0203120101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850618/NOR0203120101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/008/ERR2850618
PRJEB29231	SAMEA4984571	ERX2857232	ERR2850619	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/009/ERR2850619/ERR2850619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/009/ERR2850619/ERR2850619_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850619/NOR0203120102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850619/NOR0203120102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/009/ERR2850619
PRJEB29231	SAMEA4984572	ERX2857233	ERR2850620	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/000/ERR2850620/ERR2850620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/000/ERR2850620/ERR2850620_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850620/NOR0203120103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850620/NOR0203120103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/000/ERR2850620
PRJEB29231	SAMEA4984573	ERX2857234	ERR2850621	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/001/ERR2850621/ERR2850621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/001/ERR2850621/ERR2850621_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850621/NOR0203130101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850621/NOR0203130101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/001/ERR2850621
PRJEB29231	SAMEA4984574	ERX2857235	ERR2850622	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850622/ERR2850622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850622/ERR2850622_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850622/NOR0203130102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850622/NOR0203130102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/002/ERR2850622
PRJEB29231	SAMEA4984575	ERX2857236	ERR2850623	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850623/ERR2850623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850623/ERR2850623_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850623/NOR0203130103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850623/NOR0203130103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/003/ERR2850623
PRJEB29231	SAMEA4984576	ERX2857237	ERR2850624	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850624/ERR2850624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850624/ERR2850624_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850624/NOR0203140101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850624/NOR0203140101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/004/ERR2850624
PRJEB29231	SAMEA4984577	ERX2857238	ERR2850625	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850625/ERR2850625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850625/ERR2850625_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850625/NOR0203140102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850625/NOR0203140102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/005/ERR2850625
PRJEB29231	SAMEA4984578	ERX2857239	ERR2850626	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850626/ERR2850626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850626/ERR2850626_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850626/NOR0203140103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850626/NOR0203140103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/006/ERR2850626
PRJEB29231	SAMEA4984579	ERX2857240	ERR2850627	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/007/ERR2850627/ERR2850627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/007/ERR2850627/ERR2850627_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850627/NOR0203150101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850627/NOR0203150101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/007/ERR2850627
PRJEB29231	SAMEA4984580	ERX2857241	ERR2850628	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850628/ERR2850628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850628/ERR2850628_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850628/NOR0203160101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850628/NOR0203160101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/008/ERR2850628
PRJEB29231	SAMEA4984581	ERX2857242	ERR2850629	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/009/ERR2850629/ERR2850629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/009/ERR2850629/ERR2850629_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850629/NOR0203170101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850629/NOR0203170101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/009/ERR2850629
PRJEB29231	SAMEA4984582	ERX2857243	ERR2850630	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/000/ERR2850630/ERR2850630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/000/ERR2850630/ERR2850630_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850630/NOR0203170102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850630/NOR0203170102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/000/ERR2850630
PRJEB29231	SAMEA4984583	ERX2857244	ERR2850631	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/001/ERR2850631/ERR2850631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/001/ERR2850631/ERR2850631_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850631/NOR0203170103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850631/NOR0203170103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/001/ERR2850631
PRJEB29231	SAMEA4984584	ERX2857245	ERR2850632	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850632/ERR2850632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850632/ERR2850632_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850632/NOR0203180101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850632/NOR0203180101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/002/ERR2850632
PRJEB29231	SAMEA4984585	ERX2857246	ERR2850633	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850633/ERR2850633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850633/ERR2850633_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850633/NOR0203180102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850633/NOR0203180102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/003/ERR2850633
PRJEB29231	SAMEA4984586	ERX2857247	ERR2850634	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850634/ERR2850634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850634/ERR2850634_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850634/NOR0203180103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850634/NOR0203180103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/004/ERR2850634
PRJEB29231	SAMEA4984587	ERX2857248	ERR2850635	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850635/ERR2850635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850635/ERR2850635_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850635/NOR0203190101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850635/NOR0203190101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/005/ERR2850635
PRJEB29231	SAMEA4984588	ERX2857249	ERR2850636	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850636/ERR2850636_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850636/ERR2850636_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850636/NOR0203190102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850636/NOR0203190102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/006/ERR2850636
PRJEB29231	SAMEA4984589	ERX2857250	ERR2850637	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/007/ERR2850637/ERR2850637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/007/ERR2850637/ERR2850637_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850637/NOR0203190103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850637/NOR0203190103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/007/ERR2850637
PRJEB29231	SAMEA4984590	ERX2857251	ERR2850638	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850638/ERR2850638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/008/ERR2850638/ERR2850638_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850638/NOR0203200101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850638/NOR0203200101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/008/ERR2850638
PRJEB29231	SAMEA4984591	ERX2857252	ERR2850639	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/009/ERR2850639/ERR2850639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/009/ERR2850639/ERR2850639_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850639/NOR0203210101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850639/NOR0203210101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/009/ERR2850639
PRJEB29231	SAMEA4984592	ERX2857253	ERR2850640	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/000/ERR2850640/ERR2850640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/000/ERR2850640/ERR2850640_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850640/NOR0203220101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850640/NOR0203220101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/000/ERR2850640
PRJEB29231	SAMEA4984593	ERX2857254	ERR2850641	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/001/ERR2850641/ERR2850641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/001/ERR2850641/ERR2850641_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850641/NOR0203220102_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850641/NOR0203220102_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/001/ERR2850641
PRJEB29231	SAMEA4984594	ERX2857255	ERR2850642	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850642/ERR2850642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/002/ERR2850642/ERR2850642_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850642/NOR0203220103_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850642/NOR0203220103_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/002/ERR2850642
PRJEB29231	SAMEA4984595	ERX2857256	ERR2850643	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850643/ERR2850643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/003/ERR2850643/ERR2850643_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850643/NOR0203230101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850643/NOR0203230101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/003/ERR2850643
PRJEB29231	SAMEA4984596	ERX2857257	ERR2850644	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850644/ERR2850644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/004/ERR2850644/ERR2850644_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850644/NOR0203240101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850644/NOR0203240101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/004/ERR2850644
PRJEB29231	SAMEA4984597	ERX2857258	ERR2850645	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850645/ERR2850645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/005/ERR2850645/ERR2850645_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850645/ORE12030010101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850645/ORE12030010101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/005/ERR2850645
PRJEB29231	SAMEA4984598	ERX2857259	ERR2850646	8049	Gadus morhua	ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850646/ERR2850646_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR285/006/ERR2850646/ERR2850646_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850646/ORE12030020101_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR285/ERR2850646/ORE12030020101_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR285/006/ERR2850646
