lg	from	to
lg15	5	6
lg15	6	7
lg15	7	8
lg15	8	9
lg15	9	10
lg15	10	11
lg15	11	12
lg15	12	13
lg15	13	14
lg15	14	15
lg15	15	16
lg15	16	17
lg15	17	18
lg15	18	19
lg15	19	20
lg15	20	21
lg15	21	22
lg15	22	23
lg15	23	24
lg15	24	25
lg15	25	26
lg15	26	27
lg16	0	1
lg16	1	2
lg16	2	3
lg16	3	4
lg16	4	5
lg16	5	6
lg16	6	7
lg16	7	8
lg16	8	9
lg16	9	10
lg16	10	11
lg16	11	12
lg16	12	13
lg16	13	14
lg16	14	15
lg16	15	16
lg16	16	17
lg16	17	18
lg16	18	19
lg16	19	20
lg16	20	21
lg16	21	22
lg16	22	23
lg16	23	24
lg16	24	25
lg16	25	26
lg16	26	27
lg16	27	28
lg16	28	29
lg16	29	30
lg16	30	31
lg16	31	32
lg17	0	1
lg17	1	2
lg17	2	3
lg17	3	4
lg17	4	5
lg17	5	6
lg17	6	7
lg17	7	8
lg17	8	9
lg17	9	10
lg17	10	11
lg17	11	12
lg17	12	13
lg17	13	14
lg17	14	15
lg17	15	16
lg17	16	17
lg17	17	18
lg17	18	19
lg17	19	20
lg18	0	1
lg18	1	2
lg18	2	3
lg18	3	4
lg18	4	5
lg18	5	6
lg18	6	7
lg18	7	8
lg18	8	9
lg18	9	10
lg18	10	11
lg18	11	12
lg18	12	13
lg18	13	14
lg18	14	15
lg18	15	16
lg18	16	17
lg18	17	18
lg18	18	19
lg18	19	20
lg18	20	21
lg18	21	22
lg18	22	23
lg19	0	1
lg19	1	2
lg19	2	3
lg19	3	4
lg19	4	5
lg19	5	6
lg19	6	7
lg19	7	8
lg19	8	9
lg19	9	10
lg19	10	11
lg19	11	12
lg19	12	13
lg19	13	14
lg19	14	15
lg19	15	16
lg19	16	17
lg19	17	18
lg19	18	19
lg19	19	20
lg19	20	21
lg19	21	22
lg20	0	1
lg20	1	2
lg20	2	3
lg20	3	4
lg20	4	5
lg20	5	6
lg20	6	7
lg20	7	8
lg20	8	9
lg20	9	10
lg20	10	11
lg20	11	12
lg20	12	13
lg20	13	14
lg20	14	15
lg20	15	16
lg20	16	17
lg20	17	18
lg20	18	19
lg20	19	20
lg20	20	21
lg20	21	22
lg20	22	23
lg20	23	24
lg20	24	25
lg21	0	1
lg21	1	2
lg21	2	3
lg21	3	4
lg21	4	5
lg21	5	6
lg21	6	7
lg21	7	8
lg21	8	9
lg21	9	10
lg21	10	11
lg21	11	12
lg21	12	13
lg21	13	14
lg21	14	15
lg21	15	16
lg21	16	17
lg21	17	18
lg21	18	19
lg21	19	20
lg21	20	21
lg21	21	22
lg21	22	23
